source,target,weight
Police Forces of Myanmar (2021-),Police Forces of Myanmar (2021-) Border Guard Police,4
PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,KNDF: Karenni Nationalities Defense Force,4
People's Defense Force - Myaing,People's Security Force,4
PDF: People's Defense Force,MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,4
People's Defense Force - Yesagyo,People's Defense Force - Sagaing District,4
Government of Myanmar (2016-),People's Defense Force - Yinmarbin District,4
People's Defense Force - Shwebo District,People's Defense Force - Gangaw District,4
People's Defense Force - Monywa District,People's Defense Force - Yesagyo,4
Pyu Saw Htee,Military Forces of Myanmar (2021-) Border Guard Force,4
People's Defense Force - Myaing,ABSDF: All Burma Students' Democratic Front,4
CNF/CNA: Chin National Front/Chin National Army,People's Defense Force - Kalay,4
CNO/CNDF: Chin National Organization/Chin National Defense Force,Chinland Defense Force - Thantlang,4
PDF: People's Defense Force,People's Defense Force - Pakokku District,4
PDF: People's Defense Force,People's Defense Force - Pekon,3
KNU/KNLA: Karen National Union/Karen National Liberation Army,KNPP/KA: Karenni National Progressive Party/Karenni Army,3
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,3
PDF: People's Defense Force,Chinland Defense Force - Mindat,3
ABSDF: All Burma Students' Democratic Front,People's Defense Force - Yinmarbin District,3
People's Security Force,People's Defense Force - Yinmarbin District,3
People's Defense Force - Kalay,Chinland Defense Force - Hakha,3
People's Defense Force - Mandalay,People's Defense Force - Yesagyo,3
People's Defense Force - Myaing,People's Defense Force - Shwebo District,3
PDF: People's Defense Force,People's Defense Force - Myaing,3
PDF: People's Defense Force,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,3
Kani People's Defense Force - KLG,People's Defense Force - Sagaing District,3
CNO/CNDF: Chin National Organization/Chin National Defense Force,People's Defense Force - Gangaw District,3
ABSDF: All Burma Students' Democratic Front,People's Defense Force - Pakokku District,3
People's Defense Force - Shwebo District,People's Defense Force - Monywa District,3
Military Forces of Myanmar (2021-) People's Militia Force,SNA: Shanni Nationalities Army,3
KNDF: Karenni Nationalities Defense Force,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,3
KNU/KNLA: Karen National Union/Karen National Liberation Army,KNDF: Karenni Nationalities Defense Force,2
People's Defense Force - Mandalay,People's Defense Force - Myingyan District,2
PDF: People's Defense Force,Chinland Defense Force - Hakha,2
