source,target,weight
Police Forces of Myanmar (2021-),Chinland Defense Force - Hakha,18
Police Forces of Myanmar (2021-),People's Defense Force - Yesagyo,17
Military Forces of Myanmar (2021-) Border Guard Force,KNDO: Karen National Defence Organization,17
Police Forces of Myanmar (2021-),Chinland Defense Force - Thantlang,16
Police Forces of Myanmar (2021-),KNDO: Karen National Defence Organization,15
PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,People's Defense Force - Pekon,13
Pyu Saw Htee,People's Defense Force - Mandalay,13
Pyu Saw Htee,People's Defense Force - Myeik District,13
PDF: People's Defense Force,Government of Myanmar (2021-) State Administration Council,12
Military Forces of Myanmar (2021-) People's Militia Force,KPDF: Kachin Region People's Defense Force,12
Police Forces of Myanmar (2021-),KNPP/KA: Karenni National Progressive Party/Karenni Army,12
Police Forces of Myanmar (2021-),MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,10
Pyu Saw Htee,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,10
Police Forces of Myanmar (2021-),Kani People's Defense Force - KLG,10
ULA/AA: United League of Arakan/Arakan Army,Military Forces of Myanmar (2021-) People's Militia Force,9
Police Forces of Myanmar (2021-),People's Defense Force - Demoso,9
Police Forces of Myanmar (2021-),Chinland Defense Force - Mindat,9
KNPP/KA: Karenni National Progressive Party/Karenni Army,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,7
Pyu Saw Htee,CNO/CNDF: Chin National Organization/Chin National Defense Force,7
SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,7
Pyu Saw Htee,KNDO: Karen National Defence Organization,7
Police Forces of Myanmar (2021-),People's Defense Force - Kalay,6
SNA: Shanni Nationalities Army,People's Security Force,6
Military Forces of Myanmar (2021-) Border Guard Force,KPDF: Kachin Region People's Defense Force,6
People's Defense Force - Demoso,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,5
MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,Military Forces of Myanmar (2021-) Border Guard Force,5
Police Forces of Myanmar (2021-),People's Defense Force - Myeik District,5
Police Forces of Myanmar (2021-),Cobra Column,4
PDF: People's Defense Force,PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,4
Police Forces of Myanmar (2021-),People's Defense Force - Pekon,4
Police Forces of Myanmar (2021-),People's Defense Force - Loikaw,4
Police Forces of Myanmar (2021-),CNO/CNDF: Chin National Organization/Chin National Defense Force,4
Pyu Saw Htee,KPDF: Kachin Region People's Defense Force,4
Pyu Saw Htee,Government of Myanmar (2016-),4
ULA/AA: United League of Arakan/Arakan Army,Government of Myanmar (2021-) State Administration Council,4
